"SK_SNAPSHOT_DATE","REGION_KEY","MAKE_MODEL_DESCRIPTION","VARIANT","DERIVATIVE","FUEL_TYPE","TRANSMISSION_TYPE","BODY_TYPE","NUMBER_OF_DOORS","ENGINE_CC_SIZE","VEHICLE_SECTOR","YEAR_OF_REGISTRATION","MILEAGE","VEHICLE_PRICE"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","11000","10495"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2006","29000","6195"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2006","24324","7990"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","13000","10495"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","27215","10488"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2005","27252","5988"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","26620","9999"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2001","86146","2195"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2004","46000","4995"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2003","0","2995"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2003","70000","4687"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2006","75509","5995"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2000 - 2007)","1.3 CDTi 16v Design 3dr (a/c)","Diesel","Manual","Hatchback","3","1248","Supermini Cars","2005","80000","3795"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2000 - 2007)","1.4 i 16v SRi 3dr (a/c)","Petrol","Manual","Hatchback","3","1389","Supermini Cars","2005","29848","5995"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2000 - 2007)","1.4 i 16v SRi 3dr (a/c)","Petrol","Manual","Hatchback","3","1389","Supermini Cars","2004","12000","4488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2000 - 2007)","1.4 i 16v SRi 3dr (a/c)","Petrol","Manual","Hatchback","3","1389","Supermini Cars","2004","53000","4295"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2000 - 2007)","1.4 i 16v SRi 3dr (a/c)","Petrol","Manual","Hatchback","3","1389","Supermini Cars","2005","40000","4695"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","14465","7231"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2006","21086","5981"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","12571","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2007","25469","6488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2007","37944","5988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","21031","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","18412","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","30041","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2007","26379","6488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2007","25521","6488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","18917","7288"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","23980","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","11000","8495"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","12000","8495"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","16128","8695"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2007","29989","6488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2006","12134","6588"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","20487","7488"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","24264","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2009","26038","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","12258","6988"
"20100101","SC","VAUXHALL CORSA","HATCHBACK (2006 - 2011)","1.2 i 16v Club 5dr","Petrol","Manual","Hatchback","5","1229","Supermini Cars","2008","3182","7488"
